Timespace,AQI,hour,day,month
2025-07-01 19:58:16,112,19,Tuesday,7
2025-07-01 20:13:18,111,20,Tuesday,7
2025-07-01 20:28:18,110,20,Tuesday,7
2025-07-01 20:43:19,110,20,Tuesday,7
2025-07-01 20:58:16,110,20,Tuesday,7
2025-07-01 21:13:19,99,21,Tuesday,7
2025-07-01 21:28:16,99,21,Tuesday,7
2025-07-01 21:43:17,99,21,Tuesday,7
2025-07-01 21:58:17,99,21,Tuesday,7
2025-07-01 22:13:16,110,22,Tuesday,7
2025-07-01 22:28:21,97,22,Tuesday,7
2025-07-01 22:43:17,97,22,Tuesday,7
2025-07-01 22:58:18,97,22,Tuesday,7
2025-07-01 23:13:18,105,23,Tuesday,7
2025-07-01 23:28:16,99,23,Tuesday,7
2025-07-01 23:43:16,99,23,Tuesday,7
2025-07-01 23:58:18,99,23,Tuesday,7
2025-07-02 00:13:19,110,0,Wednesday,7
2025-07-02 00:28:19,110,0,Wednesday,7
2025-07-02 00:43:18,110,0,Wednesday,7
2025-07-02 00:58:18,110,0,Wednesday,7
2025-07-02 01:13:16,96,1,Wednesday,7
2025-07-02 01:28:17,102,1,Wednesday,7
2025-07-02 01:43:17,102,1,Wednesday,7
2025-07-02 01:58:17,102,1,Wednesday,7
2025-07-02 02:13:19,102,2,Wednesday,7
2025-07-02 02:28:16,94,2,Wednesday,7
2025-07-02 02:43:18,94,2,Wednesday,7
2025-07-02 02:58:17,94,2,Wednesday,7
2025-07-02 03:13:16,96,3,Wednesday,7
2025-07-02 03:28:16,94,3,Wednesday,7
2025-07-02 03:43:16,94,3,Wednesday,7
2025-07-02 03:58:16,94,3,Wednesday,7
2025-07-02 04:13:19,101,4,Wednesday,7
2025-07-02 04:28:17,90,4,Wednesday,7
2025-07-02 04:43:17,90,4,Wednesday,7
2025-07-02 04:58:16,90,4,Wednesday,7
2025-07-02 05:13:16,86,5,Wednesday,7
2025-07-02 05:28:17,88,5,Wednesday,7
2025-07-02 05:43:19,88,5,Wednesday,7
2025-07-02 05:58:16,88,5,Wednesday,7
2025-07-02 06:13:16,88,6,Wednesday,7
2025-07-02 06:28:16,88,6,Wednesday,7
2025-07-02 06:43:16,88,6,Wednesday,7
2025-07-02 06:58:18,88,6,Wednesday,7
2025-07-02 07:13:16,90,7,Wednesday,7
2025-07-02 07:28:18,90,7,Wednesday,7
2025-07-02 07:43:18,90,7,Wednesday,7
2025-07-02 07:58:16,90,7,Wednesday,7
2025-07-02 08:13:16,86,8,Wednesday,7
2025-07-02 08:28:21,86,8,Wednesday,7
2025-07-02 08:43:18,86,8,Wednesday,7
2025-07-02 08:58:18,86,8,Wednesday,7
2025-07-02 09:13:16,90,9,Wednesday,7
2025-07-02 09:28:18,96,9,Wednesday,7
2025-07-02 09:43:16,96,9,Wednesday,7
2025-07-02 09:58:17,96,9,Wednesday,7
2025-07-02 10:13:16,106,10,Wednesday,7
2025-07-02 10:28:16,99,10,Wednesday,7
2025-07-02 10:43:17,99,10,Wednesday,7
2025-07-02 10:58:16,99,10,Wednesday,7
2025-07-02 11:13:16,94,11,Wednesday,7
2025-07-02 11:28:16,94,11,Wednesday,7
2025-07-02 11:43:18,94,11,Wednesday,7
2025-07-02 11:58:20,94,11,Wednesday,7
2025-07-02 12:13:16,94,12,Wednesday,7
2025-07-02 12:28:16,94,12,Wednesday,7
2025-07-02 12:43:20,94,12,Wednesday,7
2025-07-02 12:58:17,94,12,Wednesday,7
2025-07-02 13:13:18,96,13,Wednesday,7
2025-07-02 13:28:16,92,13,Wednesday,7
2025-07-02 13:43:18,92,13,Wednesday,7
2025-07-02 13:58:16,92,13,Wednesday,7
2025-07-02 14:13:18,96,14,Wednesday,7
2025-07-02 14:28:18,94,14,Wednesday,7
2025-07-02 14:43:16,94,14,Wednesday,7
2025-07-02 14:58:17,94,14,Wednesday,7
2025-07-02 15:13:18,92,15,Wednesday,7
2025-07-02 15:28:21,92,15,Wednesday,7
2025-07-02 15:43:16,92,15,Wednesday,7
2025-07-02 15:58:20,92,15,Wednesday,7
2025-07-02 16:13:16,92,16,Wednesday,7
2025-07-02 16:28:18,92,16,Wednesday,7
2025-07-02 16:43:19,92,16,Wednesday,7
2025-07-02 16:58:18,92,16,Wednesday,7
2025-07-02 17:13:18,102,17,Wednesday,7
2025-07-02 17:28:17,92,17,Wednesday,7
2025-07-02 17:43:17,92,17,Wednesday,7
2025-07-02 17:58:16,92,17,Wednesday,7
2025-07-02 18:13:17,94,18,Wednesday,7
2025-07-02 18:28:19,95,18,Wednesday,7
2025-07-02 18:43:16,95,18,Wednesday,7
2025-07-02 18:58:17,95,18,Wednesday,7
2025-07-02 19:13:17,99,19,Wednesday,7
2025-07-02 19:28:16,99,19,Wednesday,7
2025-07-02 19:43:17,99,19,Wednesday,7
2025-07-02 19:58:18,99,19,Wednesday,7
2025-07-02 20:13:16,97,20,Wednesday,7
2025-07-02 20:28:17,97,20,Wednesday,7
2025-07-02 20:43:17,97,20,Wednesday,7
2025-07-02 20:58:19,97,20,Wednesday,7
2025-07-02 21:13:16,97,21,Wednesday,7
2025-07-02 21:28:20,95,21,Wednesday,7
2025-07-02 21:43:17,95,21,Wednesday,7
2025-07-02 21:58:16,95,21,Wednesday,7
2025-07-02 22:13:16,94,22,Wednesday,7
2025-07-02 22:28:17,94,22,Wednesday,7
2025-07-02 22:43:16,94,22,Wednesday,7
2025-07-02 22:58:16,94,22,Wednesday,7
2025-07-02 23:13:17,93,23,Wednesday,7
2025-07-02 23:28:16,96,23,Wednesday,7
2025-07-02 23:43:18,96,23,Wednesday,7
2025-07-02 23:58:17,96,23,Wednesday,7
